annot_name	trait1	trait2	rho	rho_corrected	se_rho	pvalue	pvalue_corrected	corr	corr_corrected	h2_1	h2_2	p	p0
ALL_	Willer2013ldl	covidhgi2020C2v5alleurLeaveUKBB	-3.21127796858e-4	-0.00167554612915	5.80199233163e-4	0.579935804019	0.00387847025918	-0.027695866016	-0.144508515148	0.0603956442207	0.00222597499939	942488	942488
ALL_	Willer2013tc	covidhgi2020A2v5alleur	6.72290820506e-4	2.12487914684e-4	5.8975643374e-4	0.254308563885	0.718624483562	0.0573237214274	0.0181180489997	0.0667813331263	0.00205963623987	932537	932537
ALL_	Willer2013tc	covidhgi2020B2v5alleur	-1.41231568951e-4	-0.00127299392602	5.25981138492e-4	0.788306232068	0.0155108070349	-0.0143856318093	-0.12966521615	0.0667528631169	0.00144389558463	930708	930708
ALL_	Willer2013tc	covidhgi2020C2v5alleur	-2.762321459e-4	-0.00183226704733	5.22429740892e-4	0.596982312762	4.52843895275e-4	-0.0227758557072	-0.151073835925	0.0668403853745	0.00220069615057	947011	947011
ALL_	Willer2013tc	covidhgi2020A2v5alleurLeaveUKBB	6.76790777953e-4	-8.6816579441e-5	6.85080102709e-4	0.323201522163	0.899158285331	0.0510315147017	-0.00654616122798	0.0667564979729	0.00263474385785	931907	931907
ALL_	Willer2013tc	covidhgi2020B2v5alleurLeaveUKBB	-4.10996214479e-4	-0.00177128124918	5.84470639965e-4	0.481934892779	0.00244089747235	-0.0367673083444	-0.158457040622	0.0667989485422	0.00187060608422	928299	928299
ALL_	Willer2013tc	covidhgi2020C2v5alleurLeaveUKBB	-2.36032386294e-4	-0.00221235851904	5.58503296654e-4	0.672575507128	7.45655009561e-5	-0.0193545823012	-0.181412710809	0.0667460620532	0.00222817829938	943049	943049
ALL_	Willer2013tg	covidhgi2020A2v5alleur	0.00163254517448	2.81375203202e-4	4.99203315415e-4	0.00107433046543	0.572993368213	0.140060723775	0.0241399841357	0.0660229558607	0.00205779789537	932018	932018
ALL_	Willer2013tg	covidhgi2020B2v5alleur	0.00115895507664	-2.54491832687e-4	5.20544453207e-4	0.0259854841947	0.624915692665	0.118814693931	-0.0260901995411	0.0659704262779	0.00144226015936	930196	930196
ALL_	Willer2013tg	covidhgi2020C2v5alleur	0.00108831251769	4.7553962996e-4	5.19658238037e-4	0.036234588669	0.36013875484	0.0905560492454	0.0395685884788	0.0657294978285	0.0021974145741	946499	946499
ALL_	Willer2013tg	covidhgi2020A2v5alleurLeaveUKBB	0.00192919941593	5.30682564696e-4	5.66191907369e-4	6.56031420724e-4	0.348612537264	0.146334854854	0.040253669702	0.066021985899	0.00263251041327	931395	931395
ALL_	Willer2013tg	covidhgi2020B2v5alleurLeaveUKBB	9.20175672618e-4	-7.3121689628e-4	5.97074781104e-4	0.123282779865	0.220701271066	0.0828299215416	-0.0658207339653	0.0660334470389	0.00186897299389	927821	927821
ALL_	Willer2013tg	covidhgi2020C2v5alleurLeaveUKBB	5.92013170838e-4	1.15936830427e-4	5.71294791378e-4	0.300078224621	0.839184302385	0.0490508435266	0.00960586623466	0.0654739776048	0.00222485161573	942545	942545
ALL_	Dashti2019slepdur	covidhgi2020A2v5alleur	-4.93315375402e-5	3.63156414791e-4	4.20051180364e-4	0.906510016663	0.387284300624	-0.00389816425091	0.0286965179724	0.0734047339538	0.00218174990336	1045428	1045428
ALL_	Dashti2019slepdur	covidhgi2020B2v5alleur	-3.12478098013e-4	-6.2230545348e-4	3.72887022033e-4	0.402032550738	0.0951402283113	-0.0296105854404	-0.0589699851526	0.0733251772562	0.00151877015863	1042730	1042730
ALL_	Dashti2019slepdur	covidhgi2020C2v5alleur	-5.12174326336e-5	5.25235735649e-4	4.43164109394e-4	0.907991629417	0.235940491073	-0.003963520207	0.0406459743224	0.0732598131532	0.00227933232563	1062617	1062617
ALL_	Dashti2019slepdur	covidhgi2020A2v5alleurLeaveUKBB	8.92563066629e-5	5.62453904874e-4	4.71132435033e-4	0.849739695719	0.232542921048	0.00621283483177	0.039150546803	0.0733499151809	0.0028138347733	1044177	1044177
ALL_	Dashti2019slepdur	covidhgi2020B2v5alleurLeaveUKBB	3.47836797789e-4	3.91386208746e-4	4.93948195601e-4	0.481310149101	0.428149124165	0.0288776569977	0.0324931599005	0.0732223591603	0.00198145139663	1039120	1039120
ALL_	Dashti2019slepdur	covidhgi2020C2v5alleurLeaveUKBB	5.04840662416e-4	0.00120027611876	5.32115190149e-4	0.342751242275	0.0240913236517	0.0390463219912	0.0928339797097	0.0732302768063	0.00228274666749	1057554	1057554
ALL_	Klimentidis2018mvpa	covidhgi2020A2v5alleur	1.59285617382e-4	0.00137340011361	4.06769076034e-4	0.695363149204	7.34509049607e-4	0.0153998537924	0.132781360274	0.0490656942184	0.00218042916846	1045591	1045591
ALL_	Klimentidis2018mvpa	covidhgi2020B2v5alleur	-6.51304320954e-5	2.95749784298e-4	3.81736607059e-4	0.864525594383	0.438488409062	-0.00755055886498	0.0342862174226	0.0490018569087	0.00151843842613	1042895	1042895
ALL_	Klimentidis2018mvpa	covidhgi2020C2v5alleur	0.00129087252764	0.00131146888055	4.13608068837e-4	0.00180235452293	0.00152019243056	0.122127582464	0.124076173619	0.0490267104216	0.0022788012127	1062745	1062745
