id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	Isq	egger_intercept	se	pval
a2F9kX	tl8ZbP	covidhgi2020A2v6alleur	Evangelou2018dbp	5e-8	FALSE	0.9108452257779915	0.002199381251528396	0.0032957988255768603	0.5049080735478049
a2F9kX	tl8ZbP	covidhgi2020A2v6alleur	Evangelou2018dbp	5e-8	TRUE	0.9110807084219146	0.0010546920100025108	0.003084437016978661	0.7325590281461407
OIrSEo	tCO6ly	covidhgi2020B2v6alleur	Evangelou2018dbp	5e-8	FALSE	0.9080418031038262	5.54385855853599e-4	0.0020340882235012955	0.7853271375569459
OIrSEo	tCO6ly	covidhgi2020B2v6alleur	Evangelou2018dbp	5e-8	TRUE	0.9084300238853253	-5.218401198464046e-4	0.001821583544364157	0.774648042765162
3xwaCD	aO7p6z	covidhgi2020C2v6alleur	Evangelou2018dbp	5e-8	FALSE	0.9082379373673951	3.7399639810836217e-4	7.837849900439248e-4	0.6334774030115192
3xwaCD	aO7p6z	covidhgi2020C2v6alleur	Evangelou2018dbp	5e-8	TRUE	0.9055460173800225	-3.184538095262939e-4	6.778244298119349e-4	0.6387170789203593
ufkVZr	NkiO0Y	covidhgi2020A2v6alleur	Evangelou2018sbp	5e-8	FALSE	0.8965203799616644	-0.0014065590085892371	0.003079504986845127	0.6480825259208807
35p9dc	yb3PLk	covidhgi2020B2v6alleur	Evangelou2018sbp	5e-8	FALSE	0.8922500719579282	-0.001919128494472719	0.0018874747570990862	0.30983044215519384
U4EMd5	psPhkg	covidhgi2020C2v6alleur	Evangelou2018sbp	5e-8	FALSE	0.891313906537647	-5.686524562318892e-4	6.629108658468083e-4	0.39146902059987776
U4EMd5	psPhkg	covidhgi2020C2v6alleur	Evangelou2018sbp	5e-8	TRUE	0.890194235528671	-8.023509249961317e-4	6.447387086225908e-4	0.21400383385917418
VJQNUn	7Lo7Za	covidhgi2020A2v6alleur	Evangelou2018pp	5e-8	FALSE	0.8923603125362641	8.326305696431472e-4	0.0032954628068056335	0.8006646641406935
VJQNUn	7Lo7Za	covidhgi2020A2v6alleur	Evangelou2018pp	5e-8	TRUE	0.892613654324603	6.558987142370113e-4	0.003238561900155727	0.8396103069673875
