id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	Isq	egger_intercept	se	pval
1HFGp0	xzAHxh	covidhgi2020B2v5alleur	Klimentidis2018mvpa	5e-8	FALSE	0	-0.010909145181156571	0.017624050017474902	0.543272798261434
Gzqa6c	ViZwuM	covidhgi2020C2v5alleur	Klimentidis2018mvpa	5e-8	FALSE	0	-1.8973363505596263e-4	0.009696034788957527	0.9845918932647026
ixnL9C	emvIHR	covidhgi2020A2v5alleur	Day2018sociso	5e-8	FALSE	0.4291072976034647	-0.0014844469663604894	0.0382782980526736	0.9696547111193952
MEEiWe	3VePXt	covidhgi2020B2v5alleur	Day2018sociso	5e-8	FALSE	0	-0.0010863779648213514	0.026435768551611675	0.9678446079140292
1lzCSL	Wl0kWH	covidhgi2020C2v5alleur	Day2018sociso	5e-8	FALSE	0	-0.00748943882244107	0.01273544293185295	0.5665562017706889
LjLIkQ	YBOTvo	covidhgi2020A2v5alleur	Evangelou2018dbp	5e-8	FALSE	0.9162134848021537	0.0032487928331092755	0.0041550948955247375	0.43469988700226203
LjLIkQ	YBOTvo	covidhgi2020A2v5alleur	Evangelou2018dbp	5e-8	TRUE	0.9158651885095449	0.002432483894640743	0.004095265253574551	0.552831542648639
UQG30W	6TGCns	covidhgi2020B2v5alleur	Evangelou2018dbp	5e-8	FALSE	0.91077299127596	-9.98854563140508e-4	0.002810446223657508	0.7224524921432744
UQG30W	6TGCns	covidhgi2020B2v5alleur	Evangelou2018dbp	5e-8	TRUE	0.9106312992581802	-0.0020880507668488563	0.0026847051473980685	0.4371268824185409
ek9sq4	UwyuCg	covidhgi2020C2v5alleur	Evangelou2018dbp	5e-8	FALSE	0.9078132996247987	-6.755586959366573e-4	0.0013265400426321484	0.610819258806913
ek9sq4	UwyuCg	covidhgi2020C2v5alleur	Evangelou2018dbp	5e-8	TRUE	0.9076873406590371	-0.0013672042906777055	0.0011943347019833716	0.2529330345783183
pctFen	zlF1as	covidhgi2020A2v5alleur	Evangelou2018sbp	5e-8	FALSE	0.9037956176243203	-0.001881680489771772	0.004017653079812045	0.6397688305492619
bc39gy	CpnfGU	covidhgi2020B2v5alleur	Evangelou2018sbp	5e-8	FALSE	0.8957975139081056	-9.665974359035556e-4	0.0026531837605903597	0.7157998557745975
qQunEO	OojPbH	covidhgi2020C2v5alleur	Evangelou2018sbp	5e-8	FALSE	0.8915358479026018	-0.0015973539787714043	0.001251288841492787	0.20243939488360313
FkjobX	DFXE1I	covidhgi2020A2v5alleur	Evangelou2018pp	5e-8	FALSE	0.9009249448036281	-0.006558012980318791	0.00425641166868301	0.12419373103153494
ku1DbA	UZ61Wm	covidhgi2020B2v5alleur	Evangelou2018pp	5e-8	FALSE	0.8911544196719091	-0.002808798486553947	0.0028188383766618703	0.31965506594521165
lea272	kMYTPO	covidhgi2020C2v5alleur	Evangelou2018pp	5e-8	FALSE	0.8874058226117959	-0.0016098523233768224	0.0012587739727479789	0.20169096479749185
tQvVFV	7YGxPU	covidhgi2020A2v5alleur	Lee2018educ	5e-8	FALSE	0.6734870727507347	0.010845196657613795	0.007669844105468688	0.1583939399195807
cbJ4IB	wRvWJN	covidhgi2020B2v5alleur	Lee2018educ	5e-8	FALSE	0.6104142122981205	0.007315138751611734	0.005219341740027657	0.1620816352041471
cbJ4IB	wRvWJN	covidhgi2020B2v5alleur	Lee2018educ	5e-8	TRUE	0.610030592167955	0.008599746100280446	0.005078194915242094	0.0914049565157371
MuVKWo	8KwPcF	covidhgi2020C2v5alleur	Lee2018educ	5e-8	FALSE	0.5689413346230119	0.0014280744957357147	0.002281346854980003	0.5318017309895118
7cl98m	FHoGMY	covidhgi2020A2v5alleur	Howard2018dep	5e-8	FALSE	0	-4.698436874871014e-4	0.056769273858344065	0.993532486673868
CMHJpC	xUOIbd	covidhgi2020B2v5alleur	Howard2018dep	5e-8	FALSE	0	-0.019798185527628912	0.04433449300475381	0.6631420135312119
SGaAr8	4N0VDv	covidhgi2020C2v5alleur	Howard2018dep	5e-8	FALSE	0	-0.036161537893010166	0.01662718527686485	0.050356490375114325
SGaAr8	4N0VDv	covidhgi2020C2v5alleur	Howard2018dep	5e-8	TRUE	0	-0.03172317307593807	0.014605516266555834	0.052593554317595714
iRN5AL	QaDYe2	covidhgi2020A2v5alleur	Jansen2018insom	5e-8	FALSE	0	0.02440255615093424	0.038342177624136525	0.5375069100585226
vojKPg	vbVILP	covidhgi2020B2v5alleur	Jansen2018insom	5e-8	FALSE	0.12031457292875575	0.033587908528717236	0.02313241595467659	0.17442475110003838
d4jpEH	Utlw90	covidhgi2020C2v5alleur	Jansen2018insom	5e-8	FALSE	0.2347981752636108	0.006066024247085016	0.011043199073575663	0.5937755241276254
emCdkx	ehb3Vz	covidhgi2020A2v5alleur	Liu2019smkint	5e-8	FALSE	0.43203552583647764	0.013228970519752399	0.01648522158244841	0.42459821014610477
7GyWQG	Ja913K	covidhgi2020B2v5alleur	Liu2019smkint	5e-8	FALSE	0.2408540240867971	0.010898002035387024	0.011144642568507009	0.3310152254593973
s6UJda	Y2Mm2K	covidhgi2020C2v5alleur	Liu2019smkint	5e-8	FALSE	0.20351880808948516	0.007676281125493145	0.0048743523215789035	0.11914600454656532
q9wKfM	XYh6fl	covidhgi2020A2v5alleur	Liu2019smkcpd	5e-8	FALSE	0.9734857075242526	0.013098038521481215	0.013555976454759824	0.34547402157830154
KjW6qV	gPUaMi	covidhgi2020B2v5alleur	Liu2019smkcpd	5e-8	FALSE	0.9725391520518774	-0.0031412492290216133	0.008867556086123028	0.7268659787909683
tby8LO	CxSdUn	covidhgi2020C2v5alleur	Liu2019smkcpd	5e-8	FALSE	0.9715955312673451	-0.0015734427601024723	0.004053217691790635	0.7019722166644093
wzqnmd	B7VavW	covidhgi2020A2v5alleur	Liu2019drnkwk	5e-8	FALSE	0.9570877730294046	-0.011964876348572583	0.00923868211774787	0.2037690058877788
wzqnmd	B7VavW	covidhgi2020A2v5alleur	Liu2019drnkwk	5e-8	TRUE	0.958274171377774	-0.008068168919251797	0.007792200064435559	0.30778323826748694
iTk4IS	BfxA2F	covidhgi2020B2v5alleur	Liu2019drnkwk	5e-8	FALSE	0.9559577762474466	-0.00200223026375526	0.007081965477776301	0.7791037837308968
iTk4IS	BfxA2F	covidhgi2020B2v5alleur	Liu2019drnkwk	5e-8	TRUE	0.9571224530975855	-0.0034859063079349154	0.005911932239193658	0.5594484105389127
LPKYtO	GwrYtA	covidhgi2020C2v5alleur	Liu2019drnkwk	5e-8	FALSE	0.9537186207313514	0.003419723424988129	0.0030714303877434766	0.27334743127531896
LPKYtO	GwrYtA	covidhgi2020C2v5alleur	Liu2019drnkwk	5e-8	TRUE	0.9550195701820107	0.004884767380544918	0.002465917366652241	0.05598571069275266
W8lPFB	zsgGOj	covidhgi2020A2v5alleur	Kunkle2019load	5e-8	FALSE	0.9880224729969751	-0.015945997075184567	0.013350966096710725	0.24703120745174076
2AZJ6F	EnadZe	covidhgi2020B2v5alleur	Kunkle2019load	5e-8	FALSE	0.9890419865261897	-0.01600497812916346	0.00835587952212214	0.07146509746496842
kpNAlJ	lcBxnF	covidhgi2020C2v5alleur	Kunkle2019load	5e-8	FALSE	0.9894095604593256	-0.0038635520859531818	0.0032018639375967347	0.2431840339727172
qQ37Pc	iHtC3G	covidhgi2020A2v5alleur	Revez2020vit250hd	5e-8	FALSE	0.9793536276000151	-0.005871535267327445	0.005624791395132775	0.2989216153112137
nXcA64	ymtQoe	covidhgi2020B2v5alleur	Revez2020vit250hd	5e-8	FALSE	0.9796647683412604	-0.0026454441458267845	0.004003437925207584	0.5101785958681482
TsLgyP	dgE9zC	covidhgi2020C2v5alleur	Revez2020vit250hd	5e-8	FALSE	0.9798902144545132	0.002024949329064135	0.002425198028415665	0.4056167806362553
TsLgyP	dgE9zC	covidhgi2020C2v5alleur	Revez2020vit250hd	5e-8	TRUE	0.9800670906249328	0.0033180980470258947	0.0018460352259564356	0.07514357783908039
HJKqp5	X3NEpW	covidhgi2020A2v5alleur	Okada2014rartis	5e-8	FALSE	0.9884201845619999	0.02375210848148265	0.010539680765449732	0.029501247591319647
HJKqp5	X3NEpW	covidhgi2020A2v5alleur	Okada2014rartis	5e-8	TRUE	0.9886883292679852	0.019553769429052646	0.0079776576562237	0.018595427083736703
8Ze5M9	CPoE0e	covidhgi2020B2v5alleur	Okada2014rartis	5e-8	FALSE	0.9892918845629712	0.006808861256175995	0.007293573293963732	0.35587607087706996
8Ze5M9	CPoE0e	covidhgi2020B2v5alleur	Okada2014rartis	5e-8	TRUE	0.9895359609119521	0.0046017857815153045	0.005755850901196636	0.42861002875979026
X9u4jO	cw1D1A	covidhgi2020C2v5alleur	Okada2014rartis	5e-8	FALSE	0.9897438001995669	-7.524490974344331e-5	0.0024215781363557936	0.9753587739206584
bJ0Qw3	b2th1x	covidhgi2020A2v5alleur	Nalls2019pd	5e-8	FALSE	0.8477961381145966	-0.024683342648434484	0.02313182159199782	0.30085897359711317
ONygAX	ElQHQw	covidhgi2020B2v5alleur	Nalls2019pd	5e-8	FALSE	0.8178131133459619	-0.01098770198665815	0.017897096996389722	0.5473849793221555
ONygAX	ElQHQw	covidhgi2020B2v5alleur	Nalls2019pd	5e-8	TRUE	0.7965477124486131	-2.815333300274084e-4	0.013693258822205673	0.9838508711470797
d1qgTp	0SPnCu	covidhgi2020C2v5alleur	Nalls2019pd	5e-8	FALSE	0.8111289979133175	5.213848449442683e-4	0.009033605194212308	0.9546477207599839
d1qgTp	0SPnCu	covidhgi2020C2v5alleur	Nalls2019pd	5e-8	TRUE	0.5528785654980924	0.002373274739309903	0.00607084905953789	0.701733816764831
1cvonE	uiE0u4	covidhgi2020A2v5alleur	Nicolas2018als	5e-8	FALSE	0.8383333998966948	-0.0769330905611358	0.048864247992382925	0.19050567975931929
37MuB8	efRDpW	covidhgi2020B2v5alleur	Nicolas2018als	5e-8	FALSE	0.8270087816182525	-0.0566146159944492	0.027579662703599368	0.1093462866781102
KobeLT	oR2xkm	covidhgi2020C2v5alleur	Nicolas2018als	5e-8	FALSE	0.7805521390937239	-0.006354401298846475	0.01993631013756786	0.7658768649469738
REtbum	iuICbx	covidhgi2020A2v5alleur	Ligthart2018crp	5e-8	FALSE	0.984764699490854	0.013133905613575365	0.009126546529428204	0.15704548534988644
REtbum	iuICbx	covidhgi2020A2v5alleur	Ligthart2018crp	5e-8	TRUE	0.9850550897521864	0.005704719144843987	0.007564390130023109	0.45477372778917013
QFkT9f	DtCTWr	covidhgi2020B2v5alleur	Ligthart2018crp	5e-8	FALSE	0.9849241733654254	0.019649132604878054	0.006861425532547598	0.006392322436446871
QFkT9f	DtCTWr	covidhgi2020B2v5alleur	Ligthart2018crp	5e-8	TRUE	0.9851967455237177	0.013931283631857826	0.005433696393438469	0.013929257719625726
ZavoHz	0kHhfW	covidhgi2020C2v5alleur	Ligthart2018crp	5e-8	FALSE	0.984533890337409	0.011257004775558663	0.004448778343714447	0.014962493767994292
ZavoHz	0kHhfW	covidhgi2020C2v5alleur	Ligthart2018crp	5e-8	TRUE	0.9847908855410655	0.0063777226133354455	0.002294345747404322	0.007973262704026228
7WJMtG	rNJ2m2	covidhgi2020A2v5alleur	Wood2014height	5e-8	FALSE	0.9125068068563658	-0.004604217665212523	0.00427230082712741	0.28188955177325653
EP0zwc	RxEfaA	covidhgi2020B2v5alleur	Wood2014height	5e-8	FALSE	0.9028740004768423	-0.0030646911583072016	0.0029413222686524246	0.2981332969293698
kLnHPb	fJt3qj	covidhgi2020C2v5alleur	Wood2014height	5e-8	FALSE	0.8978410281457327	-0.0017314743583456038	0.0013322197796496113	0.19453383558717982
GJDvwl	g14yzS	covidhgi2020A2v5alleur	Betham2015lupus	5e-8	FALSE	0.9322937621239239	6.668061426343004e-4	0.013885484198526447	0.9619378336458015
lJhGHH	q5T3kJ	covidhgi2020B2v5alleur	Betham2015lupus	5e-8	FALSE	0.929722658859709	-0.005585917128730229	0.00913687365894212	0.5444204851237595
eDPMFH	0YaI07	covidhgi2020C2v5alleur	Betham2015lupus	5e-8	FALSE	0.9291249497306665	-6.817982725949829e-4	0.0037683970333842126	0.8573398524683811
nvFg4T	R9FF4w	covidhgi2020A2v5alleur	Patsopoulos2019multscler	5e-8	FALSE	0.931389522853739	-0.002419888288005104	0.007585242205757256	0.750684854794809
nvFg4T	R9FF4w	covidhgi2020A2v5alleur	Patsopoulos2019multscler	5e-8	TRUE	0.9323837973539489	7.617088737951735e-4	0.0069324898581845235	0.9128367770754338
pWSTAZ	W5n8Br	covidhgi2020B2v5alleur	Patsopoulos2019multscler	5e-8	FALSE	0.9331963869505554	0.001097899281752707	0.005234707631561703	0.8345019367479145
pWSTAZ	W5n8Br	covidhgi2020B2v5alleur	Patsopoulos2019multscler	5e-8	TRUE	0.9339450229477764	0.0019400810676439575	0.004935630019389364	0.6955107913186136
P0GRvh	tAAeoz	covidhgi2020C2v5alleur	Patsopoulos2019multscler	5e-8	FALSE	0.9351613727340413	-3.872363853764953e-4	0.00217968152372791	0.8595202618640577
QKCgx3	zkKKLn	covidhgi2020A2v5alleur	Malik2018ais	5e-8	FALSE	0	-0.025333340813723775	0.18584042661033287	0.8954077395946067
QKCgx3	zkKKLn	covidhgi2020A2v5alleur	Malik2018ais	5e-8	TRUE	0	-0.008465160636928877	0.1290469204341586	0.9498293150327395
5Z5UCq	PswOLr	covidhgi2020B2v5alleur	Malik2018ais	5e-8	FALSE	0	-0.07960022764269854	0.1281285561321651	0.5541168995403541
5Z5UCq	PswOLr	covidhgi2020B2v5alleur	Malik2018ais	5e-8	TRUE	0	-0.07032188861110361	0.06265078052392123	0.3045727078560116
r3nkHW	4sl0v7	covidhgi2020C2v5alleur	Malik2018ais	5e-8	FALSE	0	0.004079749174901229	0.09736469193912942	0.9677471690774992
r3nkHW	4sl0v7	covidhgi2020C2v5alleur	Malik2018ais	5e-8	TRUE	0	0.04451909470970811	0.028735636862239452	0.19624475635264893
nT9iEi	Q2vUfG	covidhgi2020A2v5alleur	Wuttke2019egfr	5e-8	FALSE	0.9073628138337171	0.006250448038002454	0.005860505347300136	0.28750626879752067
aPYx3u	hZwmPn	covidhgi2020B2v5alleur	Wuttke2019egfr	5e-8	FALSE	0.9036834112556617	-3.424695749166932e-4	0.003787513137243359	0.9280466814531325
